ID,性别,所在地域,年龄,学历,职业,月收入,价格,口感,新鲜程度,质量安全,品牌,原产地,平台交易安全,平台页面设计简洁易操作,平台信息真实,平台有效率的监督投诉机制,商家信誉和口碑,商家回复及时性,商家水果相关信息介绍全面,商家物流,商家售后服务到位
62,2,3,2,3,1,1,4,4,5,5,2,3,4,5,4,3,3,4,4,3,3
63,2,2,2,3,1,1,4,4,5,5,3,4,4,5,5,5,4,4,4,5,3
64,2,2,2,4,4,2,4,5,5,5,2,3,5,4,5,5,5,5,5,5,5
65,2,4,4,1,4,1,4,5,3,4,4,5,4,4,5,3,5,4,4,4,4
66,2,2,3,2,2,4,4,3,5,3,3,5,5,3,2,2,4,5,3,2,5
67,1,2,2,3,3,3,5,3,3,4,4,3,5,3,4,4,5,3,4,3,4
68,2,2,4,2,2,2,2,5,4,3,3,5,4,3,4,5,3,4,5,4,5
69,2,1,3,4,2,2,4,5,4,5,3,2,4,3,4,3,4,4,5,5,4
70,2,2,3,4,4,3,4,5,5,5,3,3,4,5,5,4,4,5,5,4,4
71,2,1,2,4,1,2,4,5,5,4,5,3,5,4,4,5,5,4,4,3,4
72,2,4,3,3,2,2,5,5,5,5,5,5,5,4,4,5,5,4,4,5,4
73,2,4,2,4,1,2,4,5,5,5,3,3,5,4,4,5,5,5,5,5,5
74,2,2,2,4,1,1,4,4,5,5,3,3,4,4,4,4,4,4,4,5,5
75,2,2,2,3,1,1,4,5,5,4,4,3,4,3,4,4,3,3,4,3,4
76,2,1,2,4,1,1,4,5,4,4,3,4,4,3,5,4,4,5,4,4,5
77,1,2,2,3,1,1,4,5,5,4,3,3,4,3,3,4,5,4,5,5,4
78,2,1,2,4,1,1,4,4,5,5,2,2,4,4,3,4,4,4,4,5,5
79,1,2,2,4,2,2,4,5,4,4,4,5,5,4,3,4,5,5,4,4,3
80,1,1,3,4,2,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5
81,1,4,2,4,4,2,4,5,5,4,2,4,5,3,4,3,5,4,5,5,5
82,1,1,2,4,2,4,5,4,5,4,3,3,4,4,4,5,5,4,5,5,5
83,2,1,3,5,2,4,4,5,5,5,5,5,4,3,4,4,5,5,4,5,5
84,2,2,2,4,1,1,4,5,5,5,4,4,5,3,4,4,4,4,5,5,4
85,2,1,3,4,2,2,5,3,4,2,3,4,5,4,3,5,2,4,3,1,3
86,1,1,2,4,2,4,5,4,5,5,5,4,5,4,5,5,4,5,4,5,4
87,2,2,2,4,2,2,4,5,5,5,3,4,5,4,5,4,5,5,5,5,4
88,2,1,3,5,3,5,5,4,5,5,5,4,4,4,5,4,5,5,4,4,5
89,2,3,2,4,1,1,4,5,5,4,4,5,4,3,4,4,5,5,5,5,5
90,1,3,4,3,4,2,5,4,4,4,4,3,5,4,4,4,4,5,4,5,3
91,2,3,3,3,2,2,2,4,5,4,5,4,4,3,5,4,4,4,5,5,4
92,2,1,2,4,1,2,4,5,5,5,4,3,4,4,5,4,5,5,5,5,5
93,1,2,3,4,2,2,5,4,4,5,3,3,4,5,3,5,5,4,5,4,5
94,2,4,2,4,4,5,4,5,5,5,4,4,5,4,5,4,5,5,5,5,4
95,1,2,3,4,4,4,4,5,4,5,4,3,4,4,5,3,5,4,3,3,4
96,2,2,2,2,4,2,4,3,5,4,4,3,3,4,4,4,5,3,3,3,2
97,2,1,2,4,1,1,4,5,5,4,4,4,4,5,4,5,5,4,4,5,4
98,2,2,4,4,2,3,5,4,4,4,4,5,3,3,4,4,4,4,5,4,5
99,2,2,2,4,1,1,3,4,5,5,3,4,4,3,4,4,5,5,4,5,4
100,2,2,2,2,4,2,3,5,3,5,3,5,3,5,3,5,3,3,5,5,3
101,2,1,2,4,1,1,4,4,4,3,5,4,5,4,5,4,5,5,4,5,5
102,2,4,2,2,1,1,4,5,5,5,3,3,4,4,5,3,5,4,5,5,5
103,1,1,2,4,1,1,3,5,5,5,5,3,5,4,4,5,4,4,5,5,5
104,1,1,3,3,3,3,4,3,4,4,4,3,4,4,3,4,3,3,4,4,4
105,2,1,2,2,4,1,4,5,4,5,3,2,5,3,4,4,4,5,4,5,5
106,2,3,2,3,2,2,5,5,5,5,5,5,5,4,4,5,5,4,5,4,4
107,1,1,3,3,3,3,3,3,4,5,4,5,4,4,4,4,4,4,5,5,5
108,2,2,3,4,1,1,5,4,5,4,4,5,4,5,4,4,5,5,4,4,5
109,1,4,2,4,1,1,5,4,5,4,5,4,5,5,4,5,5,4,5,4,5
110,2,2,3,1,2,3,4,3,2,4,2,4,3,2,4,4,3,2,4,3,4
111,2,2,3,2,4,3,4,5,5,5,3,4,4,4,5,5,5,4,5,5,5
112,2,2,3,4,4,3,4,3,5,4,3,4,3,3,4,5,3,3,4,3,4
113,2,2,2,4,1,1,3,5,5,5,5,4,5,5,5,4,4,5,4,5,5
114,1,3,2,2,1,1,4,5,5,5,5,5,4,2,5,4,4,2,3,3,5
115,1,4,2,5,1,1,5,5,5,5,4,4,4,3,4,4,5,5,5,5,5
116,1,3,4,2,2,3,5,5,5,5,3,5,4,3,5,5,5,4,5,5,4
117,2,1,3,4,2,2,5,3,4,2,3,4,2,4,3,5,2,3,4,1,4
118,2,1,2,4,1,1,4,5,4,4,5,5,5,5,4,4,3,5,3,5,4
119,2,1,2,4,1,2,5,5,5,5,5,4,4,4,4,4,5,5,5,5,4
120,2,2,3,4,2,2,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4
121,2,2,3,2,2,2,5,4,3,5,4,5,4,3,4,4,3,2,4,4,5
122,1,1,2,4,2,4,5,5,5,4,3,3,4,4,5,4,5,5,4,5,4
123,2,3,3,4,2,2,4,5,5,5,3,4,5,5,4,4,4,4,5,5,5
124,1,3,4,2,3,2,3,4,3,4,3,4,5,3,5,3,4,4,2,2,3
125,2,4,3,4,2,2,4,5,4,4,2,4,3,5,4,4,4,5,4,5,3
126,1,2,2,4,2,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4
127,1,4,2,2,1,1,5,4,5,4,4,5,5,4,5,5,5,5,4,4,5
128,2,1,3,3,2,2,2,4,5,4,5,4,4,3,4,4,5,5,4,4,3
129,2,3,3,2,5,3,4,4,5,4,3,4,4,2,4,5,3,3,4,5,3
130,2,2,3,3,3,2,4,5,5,4,5,4,4,3,4,5,4,5,4,4,5
131,1,1,2,4,2,3,5,4,5,5,2,5,4,5,5,5,5,3,5,4,5
132,2,2,2,4,2,2,4,5,4,5,4,5,3,4,5,4,3,5,4,4,5
133,2,1,2,4,1,2,3,4,4,5,4,4,4,4,5,4,4,3,4,4,5
134,2,4,2,4,1,2,4,5,5,5,3,3,4,3,5,3,4,4,4,4,4
135,1,1,3,4,2,5,4,5,4,5,5,5,4,5,5,4,5,5,4,4,4
136,2,1,2,4,2,2,4,5,5,4,3,4,4,3,5,5,5,4,5,5,4
137,2,1,2,4,1,1,5,4,5,3,2,3,5,3,3,5,5,4,5,5,4
138,1,3,3,2,4,2,4,5,5,4,3,4,4,5,4,4,4,5,4,5,4
139,2,2,1,3,2,3,3,4,3,4,2,4,4,3,3,4,4,3,2,4,3
140,1,2,3,3,3,3,5,3,4,2,3,5,5,3,4,2,5,3,2,4,1
141,2,4,2,4,1,1,4,5,5,5,3,4,4,4,5,4,4,3,4,5,3
142,2,4,3,4,4,4,4,5,5,5,3,4,5,4,5,5,5,4,4,4,4
143,2,2,4,4,3,3,4,5,4,5,5,5,4,3,4,4,5,5,4,5,4
144,2,3,2,2,1,1,2,5,4,3,3,4,4,3,2,4,4,2,3,4,5
145,2,1,2,4,1,2,3,5,4,3,2,4,4,5,3,5,5,3,4,3,5
146,1,2,2,4,2,4,5,5,5,5,2,5,5,5,3,5,5,5,4,4,5
147,2,1,2,4,1,2,4,5,5,5,5,4,5,4,5,4,5,4,5,5,4
148,2,1,3,4,2,5,5,5,5,4,5,5,5,5,5,5,4,4,5,4,5
149,2,2,3,4,1,1,3,4,5,5,4,5,5,4,3,5,3,5,4,4,5
150,2,2,2,3,1,1,4,5,5,5,3,3,5,4,5,4,5,5,4,3,3
151,2,1,2,4,1,1,4,4,5,4,4,4,5,4,4,4,4,4,5,5,5
152,1,1,2,4,1,1,4,5,4,5,4,5,5,4,4,5,4,5,4,4,5
153,2,2,2,3,1,1,5,4,5,5,3,4,4,3,5,4,4,3,4,5,4
154,1,1,2,4,1,1,4,5,4,5,5,3,4,5,4,4,5,5,4,4,5
155,2,3,2,3,4,3,5,4,5,4,3,4,5,4,5,4,5,3,4,4,5
156,1,1,2,4,1,1,4,5,5,4,5,5,5,5,5,4,5,5,5,4,4
157,2,1,2,4,2,2,3,5,5,5,4,4,5,4,5,4,4,5,4,4,5
158,2,4,2,4,1,1,5,4,5,4,3,3,5,4,3,4,4,5,5,4,3
159,2,2,3,3,3,3,4,5,4,4,4,5,5,3,4,5,4,4,5,3,4
160,2,2,2,4,1,1,4,4,5,5,3,3,4,4,4,4,5,5,5,5,5
161,2,1,2,4,1,1,4,5,5,5,3,4,5,3,5,3,3,4,3,5,4
162,2,2,2,4,1,1,4,5,5,5,3,3,4,3,4,4,5,5,5,5,5
163,2,1,2,4,1,1,4,4,5,4,3,2,4,3,4,4,4,3,5,5,4
164,2,1,2,4,1,2,4,4,4,5,3,3,5,3,4,4,5,4,4,5,4
165,2,1,2,4,2,2,5,4,5,5,4,5,4,4,5,4,4,5,4,5,4
166,2,2,2,4,1,1,5,5,5,5,3,3,5,4,5,4,5,5,5,5,5
167,2,3,2,2,1,1,4,4,5,5,4,5,5,4,5,5,5,4,5,5,5
168,1,3,3,2,4,4,4,5,5,5,5,4,4,4,3,3,4,4,4,5,5
169,2,2,2,4,3,2,4,4,4,4,3,4,4,4,5,4,4,4,5,5,4
170,1,2,3,4,3,2,4,5,5,5,4,3,4,3,4,4,4,5,3,4,3
171,1,2,2,4,1,1,5,5,5,5,3,3,4,3,4,4,5,5,5,5,5
172,1,2,3,4,2,4,4,5,5,5,3,3,3,4,4,3,3,3,4,4,4
173,2,2,3,5,3,3,5,5,4,4,5,4,4,5,5,5,4,4,5,5,5
174,2,3,3,1,4,2,4,5,5,5,3,3,3,4,4,3,5,4,4,3,4
175,1,2,2,5,2,3,4,3,4,3,4,3,5,3,4,3,5,2,4,3,4
176,2,2,3,5,2,4,4,3,5,3,4,3,3,2,4,2,2,3,3,5,3
177,2,3,4,1,2,3,4,5,5,5,3,3,4,4,3,4,5,4,4,5,5
178,2,1,2,3,1,1,4,5,5,5,3,4,4,4,5,5,4,4,5,4,5
179,2,4,4,1,2,3,4,5,5,5,3,3,3,4,4,3,4,4,4,3,4
180,1,1,2,5,1,1,5,5,5,5,3,5,4,3,4,3,3,4,4,3,4
